"id","date_part","cash_flow"
707,"2007","-117589"
716,"2007","996438"
716,"2008","425384"
716,"2009","3930174"
716,"2010","-2650460"
716,"2011","2244078"
716,"2012","-569557"
716,"2013","712449"
716,"2014","-1416951"
725,"2007","267571"
725,"2008","-173468"
725,"2009","343128"
725,"2010","-224189"
725,"2011","-812840"
725,"2012","-890757"
725,"2013","82811"
725,"2014","1092805"
730,"2007","28423"
730,"2008","34418"
730,"2009","760762"
730,"2010","163359"
730,"2011","-1277120"
730,"2012","-1590941"
730,"2013","3331287"
730,"2014","-3537515"
753,"2007","-51901"
753,"2008","53907"
753,"2009","-65669"
773,"2007","-474713"
773,"2008","53173"
773,"2009","23493"
773,"2010","69028"
773,"2011","-259255"
773,"2012","268812"
773,"2013","56982"
773,"2014","-7966"
775,"2007","-265559"
775,"2008","-9015"
775,"2009","274062"
775,"2010","-19237"
775,"2011","3039"
775,"2012","40647"
775,"2013","-173845"
775,"2014","85148"
781,"2007","-32068"
781,"2008","-601577"
781,"2009","1226120"
781,"2010","-542875"
781,"2011","2056504"
781,"2012","-1901289"
781,"2013","-992715"
787,"2013","619774"
787,"2014","218955"
792,"2007","62573"
792,"2008","-9883221"
792,"2009","-4811582"
792,"2011","-107388"
792,"2012","-20697"
792,"2013","-298925"
792,"2014","316595"
795,"2007","-27794"
795,"2008","147470"
795,"2009","-964666"
795,"2009","1023153"
795,"2010","427715"
795,"2011","-24355"
795,"2012","1532665"
795,"2013","-698101"
795,"2014","291172"
805,"2007","344818"
805,"2008","-320952"
805,"2009","-935131"
816,"2007","-204318"
816,"2008","-32035"
816,"2009","-187764"
816,"2010","-303379"
816,"2011","-206339"
816,"2012","31362"
816,"2013","602380"
822,"2007","-37588"
822,"2008","3124628"
822,"2009","-5296886"
822,"2010","1782044"
822,"2011","-38941"
822,"2012","-83261"
822,"2013","-97934"
822,"2014","-234277"
826,"2007","1883908"
826,"2008","116293"
826,"2009","303107"
826,"2010","1507481"
826,"2011","-279213"
826,"2012","102892"
826,"2013","470040"
826,"2014","597290"
829,"2007","-578868"
829,"2008","68268"
829,"2009","386406"
829,"2010","-835968"
829,"2011","-775539"
829,"2012","-848240"
829,"2013","-524445"
829,"2014","-426768"
832,"2007","-282710"
832,"2008","-340254"
832,"2013","691060"
832,"2014","-542441"
849,"2007","-58997"
849,"2008","-551"
849,"2009","56770"
849,"2010","16676"
849,"2011","-228972"
849,"2012","-239642"
849,"2013","-4450"
849,"2014","741218"
